publishedAt,authorDisplayName,textDisplay,likeCount
2023-01-21T02:28:00Z,Park Izlin,Ada uang buat beli tapi nanti dulu 😂,0
2023-01-20T13:46:25Z,Muhammad Bimo,ot of de box abis tompelnya disebut dilan wkwk,0
2023-01-18T16:49:30Z,Gusti Vanili,Semoga tahun ini bisa kebeli honda scoopy prestige,0
2023-02-14T11:18:09Z,Syarifudin Baharsyah,Aamiin,0
2023-01-18T07:01:04Z,Rizky Andrian,gw orang yang kesini cuma mau liat 13.49,0
2023-01-18T05:39:49Z,hasan basri,"Setelah nonton review ini,, saya lebih memilih beli honda PCX",0
2023-01-17T15:33:12Z,Yogie Akhmad Syamsuddin,Salfok like postingan pak gub,0
2023-01-17T15:08:48Z,BIOGIFT PRODUCTIONS,15 pro Max,0
2023-01-17T13:12:53Z,Dian _Aparatmati,Android bagus.tapi iphone sangat sangat bagus.,0
2023-01-17T11:09:25Z,Galih akbar prasetya,"Jir keren si, awalnya dihuhat hujat tapi malah dijaiin kelebihan mantap👍",0
2023-01-16T19:34:49Z,TKW 5 😜,Keren pas kalau bikin video 🙏,0
2023-01-16T18:55:57Z,Wijaya Rojab,Sebulan pakai ini 😃,0
2023-01-16T04:36:53Z,Sejarah Panji,Sebagai honorer saya cuma bisa menikmati di yutub,0
2023-01-15T23:34:31Z,Mukhtar Efendi,Ok gak bal?,0
2023-01-15T17:00:50Z,Ands Rica,"alhamdulillah , td baru beli 14 pro 256GB",0
2023-02-14T11:18:44Z,Syarifudin Baharsyah,Semoga berkah iPhonenya Aamiin,0
2023-01-14T12:30:54Z,BERITA KABAR BAIK,Kamera di hp untuk merekam video masih menang iphone no debat,0
2023-01-14T09:28:01Z,chandra belgi,saya saat ini masih pake hp oppo f7 rencana mau beli 14 pro max di akhir feb dan sudah ada budget nya..<br>butuh saran mending beli iphone series sebelumnya sambil nunggu iphone 15 atau langsung beli iphone 14 pro max aja ya?<br>trus kalo saya beli 14 pro max dan nanti akhir tahun mau upgrade ke 15 bakal rugi brp ya kira2? mohon saran nya suhu terima kasih<br>**btw cuma bisa beli iphone nya di akhir feb sampe maret aja karena maret akhir udah brangkat lagi,0
2023-02-18T11:23:18Z,Tukang Pantau,kalau mau upgrade ke ip 15 mending sekarang pake yang 13 dulu aja,0
2023-01-14T05:32:00Z,alarm,Sayang buat maen game layar atas nyaa tebeelll yaaa,0
2023-01-12T23:50:58Z,Jasmine shining star,Baru seminggu aku pakai iPhone 14pro Max..rasanya otakku gk bisa ngikutin hp smart ini..biasa pakai android produk Samsung or oppo..😂,0
2023-01-12T21:03:07Z,Kadek Agus Wiryawan,Semoga bisa kebeli♥️,1
2023-02-14T11:19:02Z,Syarifudin Baharsyah,Semoga punya iPhone minggu ini dan dipakai hal baik Aamiin,0
2023-01-12T14:43:32Z,Sumi Anggra,Aku bisa merasakan mempunyai iphone 14 stelah nntn konten ini,0
2023-02-14T11:19:13Z,Syarifudin Baharsyah,Semoga punya iPhone minggu ini dan dipakai hal baik Aamiin,0
2023-01-11T09:23:40Z,Dekta99_Bali,"yang lingkaran isi tulisan utama ada gak bang, aku penasaran",0
2023-01-11T07:39:53Z,BIMA2001,"Walaupun aku belum mampu beli kalo udah nonton gejedin ,serasa udah punya hp nya 😭doa in ya temen2 biar aku bisa beli sendiri",1
2023-02-22T03:02:03Z,Oppo A5s,Aamiin...sama aku jg lagi nabung buat beli nanti,0
2023-01-11T00:47:40Z,Dheny Adam,Bang link penjualan hp bekas review dong,0
2023-01-10T16:13:48Z,Rahmat Ikhsan,"Bismillah buy it next year, O Allah🤲😌",1
2023-01-10T15:23:58Z,sherentna,mending 14 pro / 14 pro max?,0
2023-01-10T15:03:59Z,Hamba Allah,Bisa ngk bag di mati kan hp itu,0
2023-01-10T12:43:07Z,Iis Lenia,Coba iPhone 15 ultra,0
2023-01-10T06:38:56Z,Yudha Triwardana,14 pro max saya di blkngnya ada tulisan made in china apakash asli,1
2023-01-09T15:37:16Z,Risa Antania,bg rekomendasi aplikasi foto terbaik utk iphone,0
2023-01-09T14:22:55Z,Karniati Wahap,Keren banget bang hp nya,0
2023-01-09T11:51:23Z,Ainun,Bang unboxing ipad 10,0
2023-01-09T01:18:03Z,Irul Anam,Alhamdulilah upgrade dari 6s+ ke 14pro .,0
2023-02-14T11:19:44Z,Syarifudin Baharsyah,Semoga berkah iPhonenya Aamiin,0
2023-01-08T14:48:40Z,Jungkir Balik,"Sayangnya baterainya gak tahan, harus power bank ke mana mana",0
2023-01-08T04:58:46Z,Muhamad Irfangi,Mahal dan murahnha tergantung yang beli,0
2023-01-08T03:42:08Z,Jani Saragih,Tidak dengan SAMSUNG,0
2023-01-07T07:19:14Z,ravel d,bang kirim kerumah ku dong hpnya:3,0
2023-01-07T01:39:37Z,subkhi Gbaskoro,Update terbaru aod.nya udah bisa nmpilin jam doang bang,0
2023-01-06T12:23:47Z,Media Mancing,"Bagus banget bang, doakan saya supaya sanggup membeli nya bg🤲",0
2023-01-06T10:50:12Z,Mabuk Setiap Hari,Saya 2 minggu yang lalu beli iphone 14 pro dengan tukar tambah dengan iphone 11 biasa,0
